Title,Description,Host Country,Host Organization,Eligibility,Benefits,Deadline,Apply URL,Official URL,Source URL
"Global Youth Biodiversity Summit 2020 in Japan – Fully Funded","The Global Youth Biodiversity Network (GYBN) is now accepting applications for the Global Youth Biodiversity Summit 2020 in Japan. The fully-funded summit will take place from 20 to 26 in Miyazaki, Japan. This year the global youth summit in Japan will bring up to 230 youth from all over the world to connect, collaborate, and share experiences about our work and interest in biodiversity conservation.","Japan","Japan","Must be an active member or coordinator of a youth organization/network/community that is working on Biodiversity on the local/national/regional/international levelNOTE: youth members must be between 18-30 years old and youth coordinators must be between 18-35 years old. NOTE: youth members must be between 18-30 years old and youth coordinators must be between 18-35 years old. Committed to biodiversity conservation with a strong background of engagement.. Must commit to sharing knowledge and implementing outcomes gained from the Summit.","","The deadline for applications is 5 February 2020 at 23:59 PST (Pacific Standard Time).. APPLY NOW OFFICIAL LINK","https://docs.google.com/forms/d/e/1FAIpQLSdw1xd_mp9tJfmbEpAq0yqcLwIDUwy7f5JuKl87lhAKY0OoJA/viewform","https://www.gybn.org/summit","https://scholarshipscorner.website/global-youth-biodiversity-summit/"
"Summer School in Czech Republic 2020 at University of Pardubice","The University of Pardubice is now accepting applications for the Summer School in Czech Republic 2020. The duration of the summer school Europe is one month and the course runs from July 9th, 2020 to August 8th, 2020.","Czech Republic","The University of Pardubice","International Students from all over the world can apply. Students must be enrolled Bachelor’s degree. Must pay the registration fee","","The last date to apply for the Summer School in Czech Republic 2020 at the University of Pardubice is 31 March 2020.","https://www.upce.cz/en/life-is-chemistry-2020-application-form","https://www.upce.cz/en/summer-school-2019#main","https://scholarshipscorner.website/summer-school-in-czech-republic/"
"Cargill Global Scholars Program 2020 – Fully Funded Leadership Program","Call for application for the Cargill Global Scholars Program 2020. Selected students will be participating in a fully-funded in-Country Seminar (Year 1) and Global Seminar (Year 2). The Cargill Global Scholars fully-funded leadership program provides financial support and leadership development opportunities to undergraduate students from around the world.","In the first year of the Global Scholars Program, scholars from each country participate in the In-Country Seminar focusing on leadership development, team building, mentorship and in-depth overview of Cargill. Scholars will sharpen the leadership development of interpersonal skills and network building with fellow scholars and Cargill leaders.","Cargill & IIE","Applicants to the Cargill Global Scholars program must:. Be a citizen or permanent legal resident of Brazil, China, India, Indonesia, Russia or the United States.. Attend a partner university in the country of citizenship or permanent legal residency. Be a first or second-year university student. Demonstrate high academic performance. Demonstrate leadership potential","Each Cargill Global Scholar will:. Receive an annual scholarship award for up to two years, to help off-set any academic-related expenses.. Participate in a fully-funded In-Country Seminar (Year 1) and Global Seminar (Year 2).. Receive mentorship by Cargill employees to help the scholars identify short and long term academic and goals and will assist in reaching these goals through networking, face-to-face meetings, and communication by email and phone.. Participate in a series of experiential learning modules, leadership development training, coupled with network opportunities with Cargill executives.. Become a member of the Cargill Global Scholars Alumni community","The deadline varies from country to country.. APPLY NOW OFFICIAL LINK","https://www.cargillglobalscholars.com/apply/eligibility/","https://www.cargillglobalscholars.com/","https://scholarshipscorner.website/cargill-global-scholars-program/"
"5th AWHF Youth Forum 2020 in South Africa [Fully Funded]","Applications are open for the 5th AWHF Youth Forum 2020 in South Africa. The duration of the international youth forum will run from 28th April – 5th May 2020 at Robben Island, South Africa. The organizer will cover all the expenses of the selected candidates.","South Africa","South Africa","Thirty-five (35) young entrepreneurs from all African countries will be selected for the forum. Applicants must fulfil all of the following requirements:. African citizen between the ages: 18 – 35;. Minimum requirements: a post-secondary certified training and/or qualification;. Fluency in English (being the working language of the Forum) and ability to communicate in at least one of the other three official languages of the African Union (French, Portuguese and Arabic);. Personal attributes: motivated, active and driven individuals interested in learning how to assess the viability, feasibility, and desirability of new business ideas while engaging in a World Heritage network of young Africans eager to implement the outcomes of the forum in their home countries;. Professional attributes:Social entrepreneurs, project holders or anyone looking to start a social enterprise in need ofassistance in implementing their projects.Entrepreneurs and business owners who need to find new ways to create value in the marketwhile championing sustainable conservation of promotion of Africa’s heritage.Acquainted with online media and digital platforms (social media e.g. Snapchat, Facebook, WhatsApp, Twitter, Instagram, digital platforms, etc.).Bearers of ideas from different backgrounds and fields bringing innovative solutions to dealwith the challenges that many African countries meet in safeguarding African heritage.. Social entrepreneurs, project holders or anyone looking to start a social enterprise in need ofassistance in implementing their projects.. Entrepreneurs and business owners who need to find new ways to create value in the marketwhile championing sustainable conservation of promotion of Africa’s heritage.. Acquainted with online media and digital platforms (social media e.g. Snapchat, Facebook, WhatsApp, Twitter, Instagram, digital platforms, etc.).. Bearers of ideas from different backgrounds and fields bringing innovative solutions to dealwith the challenges that many African countries meet in safeguarding African heritage.. Note: Female candidates are strongly encouraged to apply.","The eight-day Forum will consist of interactive oral presentations from youth participants and experts from different fields combined with hands-on activities, group sessions, and discussions, as well as guided visits to Robben Island World Heritage site.. Participants will gain entrepreneurship knowledge and skills in business opportunity identification andevaluation, business management, financial resources mobilization for business start-ups and/or expansion, entrepreneurial mindset skills, communication and networking, business plan development and sustainability of World Heritage. Participants will also benefit from mentorship and technical support from the organizers of the Forum","The last date to apply for the 5th AWHF Youth Forum 2020 is 23 February (midnight GMT).. APPLY NOW OFFICIAL LINK","https://awhf.net/wp-content/uploads/2020/02/Application-Form_Youth-Forum_2020.pdf","https://awhf.net/5th-awhf-regional-youth-forum-call-for-applications-2020/","https://scholarshipscorner.website/5th-awhf-youth-forum-2020/"
"Young Leaders Programme 2020 in Brussels, Belgium – Fully Funded EDD 2020","Call for applications for the Young Leaders Programme 2020 in Brussels, Belgium. The European Commission Young Leaders Programme will consist of a 10-day visit to Brussels, where Young Leaders will meet EU experts, stakeholders and play a leading role in the EDD Programme, which will include speaking in various sessions alongside global leaders. EDD 2020 is one of the best leadership programs in Europe.","Belgium","Belgium","The eligibility criteria of fully-funded international leadership program 2020 is given by:. Open to young people from all over the world. You must be aged 21-26. You must be willing to share your views and experiences in high-level debates alongside world leaders and other change-makers in the development field.. You must be playing an active role in the fight for gender equality and women empowerment at the local, national or regional levels.","","Applications for European Commission Young Leaders Programme 2019 in Brussels will close on Friday 21st February (1:00 PM CET).. APPLY NOW OFFICIAL LINK","https://www.eudevdays.eu/youngleaders#anchor-2039","https://www.eudevdays.eu/youngleaders#anchor-2039","https://scholarshipscorner.website/young-leaders-programme/"
"Girls20 Global Summit 2020 in Riyadh, Saudi Arabia [Fully Funded]","Apply to represent your country in Girls20 Global Summit 2020 Riyadh, Saudi Arabia. This is a fully-funded international summit and all the expenses related to the program will be covered by the organizers.  The international conference will be held in October 2020 at a secure location in Riyadh, Saudi Arabia.","Saudi Arabia","Saudi Arabia","The eligibility criteria for the 2020 Global Summit is given below:. Must be 18 years old when you submit your application, and must not be older than 23 years old before October 31, 2020.. Holds or can obtain a valid passport. Holds citizenship in any of the participating countries or regions","G(irls)20 will cover the following costs for all delegates:. Flights to and from Riyadh from their nearest major city. Transportation to and from the airport in Riyadh. Accommodation in a shared room with one other female delegate. All meals during the week. Costs associated with travel visas. Traveler’s health insurance. Follow us on Facebook Page – Instagram – Twitter – LinkedIn – Telegram","Applications CLOSE on Friday, March 13, 2020 at 15:00/3:00pm Eastern Standard Time (GMT -5).. APPLY NOW OFFICIAL LINK","https://girls20.formstack.com/forms/2020_girls20_summit_application","https://girls20.org/summit2020?","https://scholarshipscorner.website/girls20-global-summit/"
"GKS Scholarship 2020 at KAIST University [Fully Funded | University Track","The University Track application for the GKS Scholarship 2020  is NOW Available. Students from all over the world can apply for the KAIST University Global Korea Scholarship in 2020. The 2019 Global Korea Scholarship GKS  is a fully-funded scholarship in South Korea and it will cover all the cost of the selected students.","South Korea","Korea Advanced Institute of Science and Technology","","","March 2nd (Mon.) Korean Standard Time. APPLY NOW OFFICIAL LINK","https://admission.kaist.ac.kr/intl-graduate/notice/?uid=190&mod=document","https://admission.kaist.ac.kr/intl-graduate/notice/?uid=190&mod=document","https://scholarshipscorner.website/gks-scholarship-2020/"
"Canada Scholarships for International Students 2020 – [Fully Funded]","The Canada Scholarships for international students are now open for the 2020-2021 academic year. Following the launch of the new International Education Strategy, Global Affairs Canada is pleased to present the Study in Canada Scholarships program. The Canadian scholarship is a fully-funded international scholarship and the scholarship will cover all the expenses of the selected students.","Canada","Canada","To be considered for a scholarship, candidate students:. must be citizens of one of the following eligible countries: Azerbaijan, Bhutan, Comoros, Djibouti, Fiji, Kazakhstan, Kiribati, Liberia, Mauritania, Micronesia, Palau, Tonga, Uzbekistan, Turkmenistan, and Vanuatu. Palestinians from the West Bank, Gaza and East Jerusalem are also eligible.. must not hold Canadian citizenship or permanent residency and must not have a pending application for permanent residency in Canada;. must apply and be admitted to a full-time academic program at a Canadian post-secondary institution;. should indicate their interest in being considered for the Study in Canada Scholarships program when applying for admission at a Canadian institution, and. must possess the linguistic competencies necessary to undertake studies in the language of instruction at the Canadian post-secondary institution (English or French).. Canadian post-secondary institutions are:. responsible for submitting applications on behalf of eligible candidates; and. encouraged to promote this scholarship opportunity on their relevant institutional websites (e.g. Admissions, International Student Office and External Scholarships websites), through faculty and staff members, as well as to partner post-secondary institutions in eligible countries/territories.","","The application period will be open from February 5 to March 31, 2020.. APPLY NOW OFFICIAL LINK","https://w05.international.gc.ca/Scholarships-Bourses/login.aspx?lang=eng","https://www.educanada.ca/scholarships-bourses/can/institutions/study-in-canada-etudes-au-canada.aspx?lang=eng","https://scholarshipscorner.website/canada-scholarships-for-international-students/"
"Leeds International Summer School 2020 in UK – Scholarships Available","The University of Leeds is now accepting applications for the Leeds International Summer School 2020 in Uk.  The summer school in the United Kingdom will run from 4 July to 1 August 2020. If you are unable to attend the full summer school you have the opportunity to join the wider group for two weeks of the program.","United Kingdom","University of Leeds","To be eligible to apply for an international summer school you should:. have a minimum grade point average (GPA) of 2.8 or equivalent. be enrolled at a university, or be a recent graduate. meet our English language requirements. We accept the following qualifications and these are the minimum requirements for non-native English speakers of non-EU/EEA nationality:IELTS 5.5 (5.5 overall with no component lower than 5.0)TOEFL (iBT) 80 (80 overall, listening and reading: 18, speaking and writing: 19)TOEIC (all four components are required) listening: 400, reading: 385, speaking: 160, writing: 150Password Skills 5.5 (5.5 overall with no component lower than 5.0). IELTS 5.5 (5.5 overall with no component lower than 5.0). TOEFL (iBT) 80 (80 overall, listening and reading: 18, speaking and writing: 19). TOEIC (all four components are required) listening: 400, reading: 385, speaking: 160, writing: 150. Password Skills 5.5 (5.5 overall with no component lower than 5.0). Other equivalent language test scores may also be considered, and students with extensive English language experience may be exempt","","The last date to apply for the Leeds International Summer School 2020 in the UK is  1 May 2020.. APPLY NOW OFFICIAL LINK","https://www.leeds.ac.uk/info/125000/leeds_international_summer_school/160/applying","https://www.leeds.ac.uk/info/125000/leeds_international_summer_school/159/about_the_programme","https://scholarshipscorner.website/leeds-international-summer-school/"
"SI Summer Academy 2020 in Sweden [Fully Funded]","Call for the applications for the SI Summer Academy 2020 in Sweden. The Swedish Institute Summer Academy is a fully-funded leadership program developed to build new networks, knowledge, and practices for increased transparency, efficiency, and resilience in public administration.","Sweden","Sweden","","SAYP will give you:. Opportunity to develop your professional skills. Tools to apply in your own organizations and local contexts. Knowledge within sustainable modern governance. Experience of cross-sectorial work environment. Personal and professional network. Lifelong membership in the SI Alumni Network. Exclusive access to Peer Shadowing and other tools for continued learning. Check & Apply for the 6th UNESCO Youth Leadership Workshop 2020 in Seoul, South Korea","The last date to apply for the SI Summer Academy 2020 is 11 March 2020.. APPLY NOW OFFICIAL LINK","https://si.se/en/apply/leadership-programmes/si-summer-academy-for-young-professionals-sayp/","https://si.se/en/apply/leadership-programmes/si-summer-academy-for-young-professionals-sayp/","https://scholarshipscorner.website/si-summer-academy/"
"Travel Writing Scholarship 2020 – Fully Funded Trip to the Caribbean","Are you a travel writer? if yes, then apply for the Travel Writing Scholarship 2020 and win a fully-funded trip to the Caribbean. The duration of the all-expenses-paid trip is 14 days. you do not need to supply an English proficiency certificate to apply. The travel writing workshop in Panama will take place from 14 September to 17 September 2020. The individual trips across a specific region of the Caribbean will take place from 18 September to 27 September 2020.","","World Nomads","","","The close date for fully-funded scholarship is 11 March 2020.. APPLY NOW OFFICIAL LINK","https://www.worldnomads.com/create/scholarships/writing/2020/apply","https://www.worldnomads.com/create/scholarships/writing/2020","https://scholarshipscorner.website/travel-writing-scholarship/"
"Masters Scholarships in France 2020 – Study in France","Call for applications for the Masters Scholarships in France 2020. Applications to this program are open to foreign students (i.e. students currently enrolled in a University outside France) who apply to one of the Masters offered by the following higher education and research institutions: Ecole Nationale Supérieure d’Architecture de Grenoble (ENSAG), Grenoble INP, Sciences Po Grenoble, Université Grenoble Alpes (UGA).","France","France","Only Foreign students can apply for this international scholarship program in 2020.. French students are not eligible. For more information about eligibility, visit the official website.","","","https://edu.univ-grenoble-alpes.fr/le-projet-idex/appels-a-projets-idex/call-for-applications-master-scholarships-session-2020-2021-734449.htm?fbclid=IwAR3swXF_49fYOjr0lEJLsSeTUylam2EBoFTN8MOesd_JaqvWPebj47Defqg","https://edu.univ-grenoble-alpes.fr/le-projet-idex/appels-a-projets-idex/call-for-applications-master-scholarships-session-2020-2021-734449.htm?fbclid=IwAR3swXF_49fYOjr0lEJLsSeTUylam2EBoFTN8MOesd_JaqvWPebj47Defqg","https://scholarshipscorner.website/masters-scholarships-in-france/"
"Summer School Canada 2020 – Funded (Travel, Accommodation, Meals)","Are you looking for the best summer school program in 2020? if yes, then apply for the Summer School Canada 2020. This is a 4-day international summer school. The CREATE DAV summer internship will run from May 19-22, 2020.","Canada","York University","Applicants from any part of the world can apply. A senior (year 3, preferably) undergraduate students that have a background in Computer Science, Math, Engineering, Psychology, and Data Visualization.. Current OCAD U’s senior undergraduate and prospective graduate students.","","The last date to apply for the Summer School 2020 in Canada is March 9, 2020. The successful applicants will be notified of decisions by March 30, 2020.. APPLY NOW OFFICIAL LINK","https://docs.google.com/forms/d/e/1FAIpQLSfMKlmwQitGTdo75FGVuM6QhakMyO_7PKV7XmsacdbrpFlCyA/viewform","https://www.createdav.com/apply-to-summer-school/","https://scholarshipscorner.website/summer-school-canada/"
"International Youth Summit Germany 2020 – Fully Funded","Call for applications for the International Youth Summit Germany 2020. The One Young World youth summit will run from 12-17th Oct 2020. The fully-funded conference will be held in Munich, Germany. The Summit will take place from 14-17 October 2020, where over 1,800 young leaders from 190+ countries will gather across the city’s well-known venues, including Olympiapark, Olympiahalle, and Bavarian Parliament.","Germany","Germany","This scholarship is intended for young leaders who are aged 18 – 30 and are able to demonstrate:. Evidenced commitment to addressing health and wellbeing in a local, national or global community, with a specific focus on child and adolescent health and/or disease prevention and/or social determinants of health programming.. Leadership ability in championing and galvanizing stakeholders around their chosen cause or issue.. A capacity for innovation and problem solving that is entrepreneurial and values-driven.. Concern for local and global issues.. Experience of working towards a shared goal through teamwork and collaboration.","","The last date to apply for the International Youth Summit Germany 2020 is 27th March 2020.. APPLY NOW OFFICIAL LINK","https://www.oneyoungworld.com/yhp-scholarship-2020-apply","https://www.oneyoungworld.com/young-health-programme-scholarship-2020","https://scholarshipscorner.website/international-youth-summit-germany/"
"Turkish Summer School 2020 by Yunus Emre Institute [Fully Funded]","The wait is over. Turkish Summer School 2020 by Yunus Emre Institute is now open for applications.  People from all over the world can apply for YEE Turkish Summer School. There are no application fees and there is no need for TOEFL/IELTS/GRE for the 2020 Turkey summer exchange program. The Yunus Emre Institute summer school is one of the best summer programs in the world.","Turkey","Turkey","Age Should be between 18-35 Years.. Should open to intercultural dialogue.. Good Command of English.. Should have a genuine interest in foreign cultures. Should have no health problems that could impede traveling. Apply Now for the Alpbach Summer Scholarship Programme 2020 in Austria – Full Scholarship Available","","The last date to apply for the Turkish Summer School 2020 in Turkey is March 31st, 2020.. APPLY NOW OFFICIAL LINK. Note: For more Amazing & Fully-Funded international opportunities, visit our website scholarshipscorner.website and Follow us on Facebook Page, Twitter, Instagram, Linkedin, and Telegram.","http://www.basvuru.yee.org.tr/en/home","https://scholarshipscorner.website/masters-scholarships-in-france/","https://scholarshipscorner.website/turkish-summer-school/"
"Free Online Leadership Development Programme | Commonwealth100","Call for applications for the Free Online Leadership Development Programme. Commonwealth100 is open to young leaders who are from a Commonwealth country, or who currently live, work or study in a Commonwealth country. Commonwealth100 is a free, online leadership course from Common Purpose that equips the next generation with 21stcentury leadership skills. This is a free, online leadership course. The course takes about 3-6 hours and can be completed at your own pace during the 7-week course period.","","","Commonwealth100 is open to young people, aged 18+, from across the Commonwealth.. You may be at the beginning of your career or in Higher or Further Education.","This is your opportunity to gain practical skills for the future, reflect upon your own leadership style, and move forward with a new perspective on how to make the most positive impact. The programme has built-in reflective exercises where you can share and learn from senior and young leaders’ thoughts and experiences.. You will take part in interactive exercises and discussions with peers from across the Commonwealth. And you will read compelling articles, which explore the skills you need to be successful in the 21st century.. All participants who complete the programme will receive the Open Source Leadership Badge, which can be used as a record of your achievement on your CV or online profiles.. Note: For more Amazing & Fully-Funded national and international opportunities, visit our website scholarshipscorner.website and Follow us on Facebook Page, Twitter, Instagram, Linkedin, Youtube Channel, and Telegram.","","https://commonpurpose.org/leadership-programmes/commonwealth100/register/","https://commonpurpose.org/leadership-programmes/commonwealth100/","https://scholarshipscorner.website/free-online-leadership-development-programme/"
