Category,Details
"Class Profile - Average GRE Score","315"
"Class Profile - Average GPA","3.88"
"Class Profile - Average GMAT Score","710"
"Class Profile - Average Age","29"
"Class Profile URL","https://www.harvard.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$81056"
"Employment Statistics - Finance","$113975"
"Employment Statistics - Marketing","$86631"
"Employment Statistics - Information Technology","$123099"
"Employment Statistics - Average Salary (in $)","$101190"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","496%"
"Deadlines","Round 1: October 2, Round 2: January 4, Round 3: March 10"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at Harvard University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Stanford University"
"University","Stanford University"
"Location","USA"
"Program","MiM"
"Intake","Fall, Spring"
"Duration","12 Months"
"Tuition Fees","USD 50,430"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","693"
"Recommended Scores - Recommended GRE","393"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.stanford.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","323"
"Class Profile - Average GPA","3.48"
"Class Profile - Average GMAT Score","690"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.stanford.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$107583"
"Employment Statistics - Finance","$91677"
"Employment Statistics - Marketing","$109417"
"Employment Statistics - Information Technology","$101509"
"Employment Statistics - Average Salary (in $)","$102546"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","610%"
"Deadlines","Round 1: October 5, Round 2: January 14, Round 3: March 13"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at Stanford University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","MIT - Sloan School of Business"
"University","MIT - Sloan School of Business"
"Location","USA"
"Program","MiM"
"Intake","September"
"Duration","12 Months"
"Tuition Fees","USD 45,516"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","700"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.mit.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","4 Years"
"Class Profile - Average GRE Score","325"
"Class Profile - Average GPA","3.80"
"Class Profile - Average GMAT Score","698"
"Class Profile - Average Age","24"
"Class Profile URL","https://www.mit.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$91178"
"Employment Statistics - Finance","$124454"
"Employment Statistics - Marketing","$80592"
"Employment Statistics - Information Technology","$93963"
"Employment Statistics - Average Salary (in $)","$97546"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","642%"
"Deadlines","Round 1: October 8, Round 2: January 2, Round 3: March 14"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at MIT - Sloan School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","UC Berkeley - Haas School of Business"
"University","UC Berkeley - Haas School of Business"
"Location","USA"
"Program","MiM"
"Intake","Fall"
"Duration","16 Months"
"Tuition Fees","USD 53,044"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","714"
"Recommended Scores - Recommended GRE","396"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.uc.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","316"
"Class Profile - Average GPA","3.55"
"Class Profile - Average GMAT Score","710"
"Class Profile - Average Age","27"
"Class Profile URL","https://www.uc.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$83479"
"Employment Statistics - Finance","$114389"
"Employment Statistics - Marketing","$88199"
"Employment Statistics - Information Technology","$97487"
"Employment Statistics - Average Salary (in $)","$95888"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","542%"
"Deadlines","Round 1: October 11, Round 2: January 2, Round 3: March 8"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at UC Berkeley - Haas School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Columbia Business School"
"University","Columbia Business School"
"Location","USA"
"Program","MiM"
"Intake","Fall, Spring"
"Duration","16 Months"
"Tuition Fees","USD 43,603"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","686"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.columbia.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
"Class Profile - Average GRE Score","315"
"Class Profile - Average GPA","3.79"
"Class Profile - Average GMAT Score","685"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.columbia.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$96744"
"Employment Statistics - Finance","$87067"
"Employment Statistics - Marketing","$84709"
"Employment Statistics - Information Technology","$103920"
"Employment Statistics - Average Salary (in $)","$93110"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","640%"
"Deadlines","Round 1: October 4, Round 2: January 5, Round 3: March 9"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at Columbia Business School. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","Carnegie Mellon University - Tepper School of Business"
"University","Carnegie Mellon University - Tepper School of Business"
"Location","USA"
"Program","MiM"
"Intake","September"
"Duration","16 Months"
"Tuition Fees","USD 56,036"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","685"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.carnegie.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","322"
"Class Profile - Average GPA","3.77"
"Class Profile - Average GMAT Score","685"
"Class Profile - Average Age","26"
"Class Profile URL","https://www.carnegie.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$89281"
"Employment Statistics - Finance","$94694"
"Employment Statistics - Marketing","$85577"
"Employment Statistics - Information Technology","$127400"
"Employment Statistics - Average Salary (in $)","$99238"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","531%"
"Deadlines","Round 1: October 4, Round 2: January 3, Round 3: March 2"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at Carnegie Mellon University - Tepper School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","NYU - Stern School of Business"
"University","NYU - Stern School of Business"
"Location","USA"
"Program","MiM"
"Intake","Fall, Spring"
"Duration","10 Months"
"Tuition Fees","USD 54,155"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","684"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.nyu.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","318"
"Class Profile - Average GPA","3.94"
"Class Profile - Average GMAT Score","682"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.nyu.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$114556"
"Employment Statistics - Finance","$107750"
"Employment Statistics - Marketing","$105480"
"Employment Statistics - Information Technology","$101940"
"Employment Statistics - Average Salary (in $)","$107431"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","595%"
"Deadlines","Round 1: October 15, Round 2: January 2, Round 3: March 7"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at NYU - Stern School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Northwestern University - Kellogg School of Management"
"University","Northwestern University - Kellogg School of Management"
"Location","USA"
"Program","MiM"
"Intake","Fall, Spring"
"Duration","12 Months"
"Tuition Fees","USD 56,915"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","685"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.northwestern.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","324"
"Class Profile - Average GPA","3.87"
"Class Profile - Average GMAT Score","701"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.northwestern.edu/programs/mim/class-profile"
"Employment Statistics - Consulting","$91355"
"Employment Statistics - Finance","$117211"
"Employment Statistics - Marketing","$77269"
"Employment Statistics - Information Technology","$92592"
"Employment Statistics - Average Salary (in $)","$94606"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","498%"
"Deadlines","Round 1: October 2, Round 2: January 15, Round 3: March 2"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MiM at Northwestern University - Kellogg School of Management. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Harvard University"
"University","Harvard University"
"Location","USA"
"Program","MSc Marketing"
"Intake","September"
"Duration","12 Months"
"Tuition Fees","USD 40,054"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","714"
"Recommended Scores - Recommended GRE","396"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.harvard.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","320"
"Class Profile - Average GPA","3.60"
"Class Profile - Average GMAT Score","726"
"Class Profile - Average Age","25"
"Class Profile URL","https://www.harvard.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$107141"
"Employment Statistics - Finance","$108676"
"Employment Statistics - Marketing","$103711"
"Employment Statistics - Information Technology","$122682"
"Employment Statistics - Average Salary (in $)","$110552"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","828%"
"Deadlines","Round 1: October 12, Round 2: January 1, Round 3: March 13"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Harvard University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Stanford University"
"University","Stanford University"
"Location","USA"
"Program","MSc Marketing"
"Intake","Fall, Spring"
"Duration","15 Months"
"Tuition Fees","USD 47,522"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","719"
"Recommended Scores - Recommended GRE","396"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.stanford.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","320"
"Class Profile - Average GPA","3.49"
"Class Profile - Average GMAT Score","733"
"Class Profile - Average Age","29"
"Class Profile URL","https://www.stanford.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$116051"
"Employment Statistics - Finance","$93575"
"Employment Statistics - Marketing","$105840"
"Employment Statistics - Information Technology","$113969"
"Employment Statistics - Average Salary (in $)","$107358"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","677%"
"Deadlines","Round 1: October 11, Round 2: January 7, Round 3: March 13"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Stanford University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","MIT - Sloan School of Business"
"University","MIT - Sloan School of Business"
"Location","USA"
"Program","MSc Marketing"
"Intake","September"
"Duration","12 Months"
"Tuition Fees","USD 55,210"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","711"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.mit.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","323"
"Class Profile - Average GPA","3.86"
"Class Profile - Average GMAT Score","725"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.mit.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$112433"
"Employment Statistics - Finance","$112667"
"Employment Statistics - Marketing","$76648"
"Employment Statistics - Information Technology","$102324"
"Employment Statistics - Average Salary (in $)","$101018"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","548%"
"Deadlines","Round 1: October 3, Round 2: January 4, Round 3: March 3"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at MIT - Sloan School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
